Designator,Mid X,Mid Y,Rotation,Layer
A1,146.304,-96.266,0.0,bottom
J1,160.274,-107.696,270.0,top
J10,148.844,-99.822,270.0,top
J2,166.624,-119.634,270.0,top
J3,146.304,-120.264,180.0,top
J4,132.334,-117.348,0.0,top
J5,120.142,-117.348,0.0,top
J6,122.174,-91.948,270.0,top
J7,171.704,-91.948,270.0,top
J8,140.208,-107.696,0.0,top
J9,128.524,-103.632,270.0,top
LED1,146.27,-91.948,180.0,top
R1,146.2005,-93.98,180.0,top
SW1,118.872,-102.108,270.0,top
